CLGVZL,1.54
CLKRXQ,2.26
OVKAIV,2.57
JGVUWR,1.85
MJYRXZ,1.73
JKMATL,2.24
VMYLWH,1.70
CTMMGY,2.00
TVHCHP,1.87
IJYJIH,2.64
SUWCJG,2.20
GLUABQ,1.84
WEETCM,2.12
GLTNMS,2.76
VCQGWV,3.19
YCRFMZ,1.78
WDXCYD,2.03
RLUHWI,2.72
GVACNE,2.95
DKJPKM,2.87
RAKVBS,1.64
TDKWXT,2.78
MAHVAY,1.96
NXCVSR,3.17
BZEQTA,1.57
ATPHIZ,1.94
IZQCCX,2.15
DVQQKC,3.06
OEDADG,2.10
VCYHDC,2.19
Banana,2.92
JAQDIM,3.17
LIANZR,2.51
LLUTYY,2.99
PCCYCV,3.04
ARHEWZ,2.68
YXCIWT,2.66
KYHAOJ,1.65
XBSGLE,2.72
WJVMRT,2.67
XOQDXG,2.89
XNAAGB,2.99
RRANDV,2.79
ROIFAD,3.07
AZSOHM,1.99
OKNICI,1.77
UADWZO,2.26
KGCENZ,2.24
LEYVUD,2.61
ASCHXU,2.90
PTLPLB,2.95
IOACLQ,3.11
VRQKYO,2.00
GTLRJK,2.26
OBKEIS,2.65
OTRYMU,1.82
LEIJAX,2.20
NXBVSE,1.88
FVSQEG,1.68
JHHEWR,2.01
HHINJQ,1.97
MKMHFB,2.01
MBHWTU,3.06
FHSRUJ,2.16
LFKTOU,2.49
KEXWCM,3.02
JJNYFX,3.20
TJZBKT,2.60
XDERXR,2.60
JUPDHF,3.20
BGEMUR,1.87
OVECNW,3.10
NPDHHF,2.49
YZHYXD,3.14
JRCVAA,1.55
FBRCEO,1.99
FBBAIR,2.53
FHHNUG,1.95
QTKSEQ,2.99
WVWSPI,2.53
DZUCCC,2.36
OAARVS,2.81
DRHCNW,2.55
WOIEBG,3.11
NJEIIU,2.54
OJQVLZ,2.81
PZWAWT,1.58
LRIQYJ,2.49
UWMXTB,2.92
KIJHZU,3.13
QGOQBE,1.95
AAUDSE,1.71
WNKJFH,2.73
NZRUPJ,1.82
FYYXNH,2.63
IMUDRK,2.76
GPNBDQ,2.32
QBGGCF,1.81
XDLKQK,2.01
XOPHDW,2.31
MYGILX,1.53
TEOGJZ,2.73
IPKOND,2.18
WSYKLX,3.11
DRBXWC,3.15
ROLRXB,3.18
MMOGXN,2.71
RAAODS,3.00
OSPJBA,2.16
ZVZLFK,3.22
WODVYH,2.74
EIYLJY,2.59
JBUQVM,1.81
CVGKHZ,3.04
GAZFVS,1.91
UNNVMA,1.55
FNQCJL,2.87
YNTBIO,2.43
QOOTGH,2.57
XLCFRU,2.03
EAFFHF,2.33
HOHAIK,2.51
ABKCPS,2.66
BVYRYK,2.14
BEQGFU,2.13
ZUHXNJ,2.65
MTWODQ,3.12
DKSOSU,2.56
MAKQUU,2.76
DOEZJV,1.89
HSSSOZ,1.61
MPNQYS,2.58
ZRMJOH,2.77
DKLRAX,3.12
QWGXSE,3.16
DUVWON,1.94
GYMWTH,2.44
EOZVWI,1.74
LDBZOM,3.17
OHPUJI,1.76
CTGNUT,1.78
TUEBOV,1.64
ZKIUDV,2.14
DSECEW,1.66
BTYNZR,1.90
SPFEHX,1.68
WELUUO,2.70
MFYJNB,2.60
MXPFIK,3.05
TYOANV,2.70
CLEYOR,3.02
SQLOBP,2.93
OWKHKC,2.73
SSKBRF,1.90
BSBDID,1.69
UXBOSE,2.38
WYJFPF,2.18
BDPHLZ,1.56
ZSJFJT,3.12
PZMOLB,1.89
GMFRED,2.52
JDSTLY,2.57
KTWNNW,2.70
RWVSRH,2.50
SYOOVA,2.52
FCPLKR,1.77
MBLAUG,2.53
RHNEBR,1.62
IPMQZP,2.04
QWXFXO,1.70
ITZQHF,2.34
IQISUJ,2.28
ABQKZY,1.86
SIZOWR,2.82
KIPVYF,2.09
TPCEKL,3.04
LTZDMP,3.10
LXAARE,3.09
FDIUWY,2.69
HZYFAE,2.99
WHSMGB,2.97
SPXAHQ,2.54
JMQCBV,1.94
LUMFOS,1.98
RJRKXG,2.76
QOWPZD,2.73
LBAFMP,2.53
